h_name,a_name,h_score,a_score,h_min_a
JAC,BUF,34,31,3
TB,DAL,10,6,4
TB,TEN,14,42,-28
ATL,TB,20,23,-3
NO,NYG,52,49,3
TEN,OAK,21,24,-3
NO,DAL,26,20,6
SEA,DET,13,10,3
GB,KC,38,28,10
BAL,STL,16,13,3
DET,DEN,12,24,-12
DEN,BAL,19,13,6
DEN,MIN,23,20,3
ARI,CIN,34,31,3
ATL,MIN,10,20,-10
ARI,BAL,26,18,8
MIN,STL,21,18,3
CAR,IND,29,26,3
CAR,PHI,27,16,11
BUF,HOU,30,21,9
MIA,BAL,15,13,2
CLE,CIN,3,37,-34
TEN,JAC,42,39,3
CHI,SF,20,26,-6
MIN,SEA,7,38,-31
NO,CAR,38,41,-3
TB,ATL,23,19,4
MIA,NYJ,14,27,-13
STL,ARI,3,27,-24
OAK,KC,20,34,-14
SD,DEN,3,17,-14
NE,PHI,28,35,-7
PIT,IND,45,10,35
SD,DET,33,28,5
WAS,DAL,16,19,-3
ARI,MIN,23,20,3
PHI,BUF,23,20,3
NYJ,TEN,30,8,22
CIN,PIT,20,33,-13
ATL,IND,21,24,-3
HOU,NE,6,27,-21
JAC,IND,51,16,35
KC,SD,10,3,7
CHI,WAS,21,24,-3
HOU,NYJ,24,17,7
PHI,TB,17,45,-28
CAR,ATL,38,0,38
TB,NO,17,24,-7
STL,DET,21,14,7
PIT,OAK,38,35,3
SF,ATL,17,16,1
IND,DEN,27,24,3
DAL,PHI,27,33,-6
BUF,NYG,10,24,-14
SD,CLE,30,27,3
SF,GB,3,17,-14
ARI,STL,22,24,-2
CLE,SF,24,10,14
DEN,OAK,12,15,-3
GB,DAL,28,7,21
BAL,SEA,6,35,-29
MIA,NYG,24,31,-7
STL,TB,31,23,8
DAL,NYJ,16,19,-3
NYG,CAR,35,38,-3
PHI,ARI,17,40,-23
MIN,CHI,38,17,21
JAC,ATL,17,23,-6
IND,HOU,10,16,-6
NE,TEN,33,16,17
OAK,SD,23,20,3
JAC,TEN,19,13,6
TEN,CAR,10,27,-17
STL,CHI,13,37,-24
NO,TEN,28,34,-6
BUF,MIA,33,17,16
NE,MIA,36,7,29
KC,DET,45,10,35
IND,NO,21,27,-6
TEN,ATL,7,10,-3
SD,OAK,29,37,-8
